site_id,years_sampled
103000691,21
103000692,21
103000693,22
103000694,22
103000695,17
103000696,22
103000697,22
103000698,25
103000699,22
103000700,26
103000701,22
103000702,22
103000703,27
103000704,22
103000705,22
103000706,28
103000707,22
103000708,27
103000709,21
103000710,27
103000711,8
103000712,8
103000713,8
103000714,8
103000715,8
103000716,8
103000717,8
103000718,8
103000719,8
103000720,8
103000721,8
103000722,8
103000723,8
104000001,19
104000002,17
104000003,13
104000004,12
104000005,19
104000006,13
104000007,13
104000008,12
104000009,12
104000010,12
104000011,16
104000012,13
104000013,12
104000014,13
104000015,13
104000016,13
104000017,12
104000018,13
104000019,11
104000020,12
104000021,13
104000022,13
104000023,11
104000024,13
104000025,12
104000026,12
104000027,13
104000028,13
104000029,12
104000030,12
104000031,18
104000032,12
104000033,13
104000034,13
104000035,13
104000036,12
104000037,12
104000038,16
104000043,16
104000049,9
104000051,15
104000056,16
104000058,11
104000059,10
104000060,9
104000063,14
104000066,15
104000069,10
104000071,15
104000073,16
104000074,16
104000075,13
104000084,16
104000086,16
104000089,12
104000090,16
104000092,22
104000094,22
104000095,23
104000096,9
104000100,23
104000101,16
104000103,9
104000105,15
104000109,15
104000110,16
104000112,10
104000118,23
104000122,11
104000123,10
104000124,23
104000125,9
104000127,14
104000128,13
104000131,13
104000141,16
104000142,16
104000145,15
104000146,11
104000147,15
104000148,16
104000149,15
104000153,10
104000155,10
104000156,22
104000159,9
104000162,23
104000163,15
104000165,9
104000166,23
104000175,15
105000001,10
105000002,10
105000003,10
105000004,10
105000005,10
105000006,10
105000007,10
105000008,10
105000009,10
105000010,10
105000011,10
105000012,10
105000013,10
105000014,10
105000015,10
105000016,10
105000017,10
105000018,10
105000019,10
105000020,10
106000001,10
106000002,8
106000003,8
106000004,9
106000005,8
107000001,19
107000002,19
107000003,20
107000004,19
107000005,17
107000006,19
107000007,19
107000008,19
107000009,19
107000010,19
107000011,20
107000012,19
107000013,19
107000014,19
107000015,20
107000016,19
107000017,20
107000018,18
107000019,18
107000020,18
107000021,19
107000022,18
107000023,20
107000024,17
107000025,19
107000026,18
107000027,19
107000028,18
107000029,17
107000030,24
107000031,17
107000032,25
107000033,20
107000034,19
107000035,22
107000036,20
107000037,12
107000038,19
107000039,19
107000040,20
107000041,20
107000042,19
107000043,25
107000044,17
107000045,18
107000046,27
107000047,21
107000048,19
107000049,25
107000050,19
107000051,19
107000052,19
107000053,25
107000054,18
107000055,26
107000056,24
107000057,20
107000058,26
107000059,27
107000060,23
107000061,24
107000062,23
107000063,24
107000064,21
107000065,27
107000066,26
107000067,23
107000068,17
107000069,19
107000070,20
107000071,18
107000072,20
107000073,19
107000074,20
107000075,26
107000076,19
107000077,27
107000078,24
107000079,19
107000080,20
107000081,25
107000082,19
107000083,24
107000084,20
107000085,19
107000086,21
107000087,20
107000088,18
107000089,12
107000090,26
107000091,27
107000092,26
107000093,25
107000094,25
107000095,25
107000096,26
107000097,17
107000098,25
107000099,21
107000100,18
107000101,25
107000102,25
107000103,26
107000104,17
107000105,18
107000106,18
107000107,20
107000108,23
107000109,19
107000110,19
107000111,24
107000112,24
107000113,19
107000114,19
107000115,20
107000116,16
107000117,20
107000118,25
107000119,26
