"","Response","StartYear","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"1","abundance","1977",0.100433475535215,1.24798632141382,-3.99409407982096,3.80341426346124,-2.53776221108192,2.84882719249149,-1.97895031349184,2.26022456895429,-1.38403367897852,1.62282566606439
"2","abundance","1978",0.0720606895625447,1.26736535320629,-3.40864176557751,4.18013632693399,-2.633751775121,2.9816022598522,-2.12995487194333,2.24794677984276,-1.48383532844484,1.53551956537155
"3","abundance","1979",0.0800120239291196,1.1706028689819,-3.24733562894142,3.39204749127961,-2.51575737370745,2.66733127388617,-1.93580582584497,2.08515745234245,-1.3264437223179,1.54212244413847
"4","abundance","1980",-0.0326017830265485,1.1887619517516,-4.10715164048533,3.96236189489133,-2.61699274604657,2.62591531949055,-2.04914917276453,1.8905063591308,-1.40980307753814,1.32343579364713
"5","abundance","1981",0.119812550136048,1.28612430077691,-4.06495131513478,3.94715908221296,-2.65786740986465,2.72763558484857,-1.95706952895183,2.49305600073812,-1.38033736365232,1.77697072538099
"6","abundance","1982",-0.0266517498046159,1.14692669416959,-3.37031515389785,3.47403238062041,-2.3737124568016,2.81703792459559,-1.90816110734393,2.09131941377305,-1.42489360640965,1.35483259500775
"7","abundance","1983",0.0652020240322339,0.488527204604281,-1.50198052202891,1.50754326057891,-1.01102601007629,1.08006739708525,-0.742016898517119,0.923794448437591,-0.466055792423633,0.676433906682171
"8","abundance","1984",0.178931578504167,0.680148514188059,-1.88946365346684,2.12076169654051,-1.10143507411331,1.92233811700146,-0.783483884060748,1.74629587759739,-0.530895577228589,1.06205696798073
"9","abundance","1985",0.0294553765228996,0.577207930373547,-1.88163334489818,2.21614329911391,-1.27958283337946,1.1540687175957,-1.1731681691,0.917779098933167,-0.613258123731768,0.602796437718477
"10","abundance","1986",0.0370802639445869,0.430840133060427,-2.46030459586609,1.47489479405921,-0.737083117723622,0.814586852274682,-0.499587846181409,0.637417873889671,-0.366181215913258,0.451145697944825
"11","abundance","1987",0.0291539852246119,0.303039943906109,-1.06329960144981,1.13249560436802,-0.649951538287663,0.670848108561349,-0.475783825572211,0.530710396426364,-0.30204597437235,0.354140597366745
"12","abundance","1988",-0.023104344792762,0.109942938867473,-0.458259957194886,0.372094140370855,-0.256514327079958,0.21226515447401,-0.193387361296235,0.153570483359585,-0.143868827545753,0.093493475794978
