"","drivers","Response","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"1","Intercept","spp_richness",0.195664540272266,0.0846160696519543,-0.0253025436899771,0.431094763340997,0.0305097067649546,0.36020525943058,0.0565095802414174,0.333389741453036,0.0879130219555217,0.303832326038582
"2","sppt_Est","spp_richness",-0.035200261996431,0.010492642173214,-0.0622171569877343,-0.00837333712028454,-0.056061243881084,-0.0148083871139884,-0.0525506354889176,-0.0178617668615734,-0.0487589233674136,-0.0217987853187886
"3","stmax_Est","spp_richness",-0.0144223799005623,0.0128165956753221,-0.0506951108641891,0.0159066607753717,-0.0409123758179748,0.00793892748530278,-0.0364602134787869,0.00461256126874075,-0.0316264989326372,0.00117501712295566
"4","sppt_mm_12moPrior","spp_richness",0.00863769168295799,0.0132391977149623,-0.0255189322321573,0.0462959567129001,-0.0165759401950278,0.0365835056846635,-0.0121617656224093,0.0313237336883658,-0.00730292303893493,0.0254431597025874
"5","stmax_C_12moPrior","spp_richness",0.0644560880335334,0.0225704580058518,0.00847324483079394,0.124340030598865,0.0208740703567781,0.109324793222851,0.0268471184244978,0.100577206388778,0.0350985799866204,0.0926732685601608
"6","sstrahler_streamOrder","spp_richness",-0.0118851709970251,0.00720691055837126,-0.0307391253572776,0.00582021620791785,-0.0259992589436112,0.0016628951860187,-0.0237986600058829,-0.000149689100696327,-0.021148799353574,-0.00275061888664477
"7","saccumulation_atPoint","spp_richness",0.000521087823766079,0.0052806407402557,-0.0132029181826219,0.0143558021405016,-0.0100419469079112,0.0111283586227624,-0.00832769953775296,0.00938855547507058,-0.00620038779063843,0.00730580031698849
"8","selevation_atPoint","spp_richness",0.00255636071356104,0.0114736357436501,-0.0275258973306717,0.0342532803506941,-0.0194691289580184,0.025639525499088,-0.0159186305928763,0.0213045617557964,-0.011691349491155,0.0175046706403408
"9","sslope_mean","spp_richness",-0.00274775257777285,0.00705899858146825,-0.0215957527387497,0.0145511932594388,-0.0174283500048065,0.0110066573364592,-0.0149297221543699,0.00861515089606614,-0.0120507825306734,0.00607771241381427
"10","surban_meanPerc_upstr","spp_richness",-0.0132122908132706,0.00614204900626634,-0.0299843204557018,0.00235139710351776,-0.0256197104180648,-0.00124371084234066,-0.0233352385548535,-0.00316739850152726,-0.0211285986277549,-0.00539009990282187
"11","scrop_meanPerc_upstr","spp_richness",-0.069988034295953,0.0112477668286595,-0.0998844895587785,-0.0414609227584864,-0.0924114910192467,-0.0482671869575594,-0.0887390842646298,-0.0517254544165905,-0.0844456501929414,-0.0557057572942633
"12","sdam_impact_score_lessthan100km","spp_richness",-0.0426889489924467,0.00604528338592171,-0.058357360928765,-0.0268651421508937,-0.0543680624461822,-0.0305434482390668,-0.0524939193487563,-0.0326249753934033,-0.0503146596017242,-0.0349434198740068
"13","Intercept","spp_richness_rarefied",0.0366738388136302,0.0414129882977477,-0.0804174820034938,0.145041660386893,-0.047248896866642,0.119172536666199,-0.0304660836557523,0.104180829260397,-0.0149842599446302,0.0878049730537521
"14","sppt_Est","spp_richness_rarefied",-0.0241122444098684,0.00721128678625597,-0.0420595488047719,-0.00610623794778522,-0.0383995718278112,-0.0100332520928974,-0.0359903181795783,-0.0121775438048421,-0.0333504592707687,-0.0148681463571192
"15","stmax_Est","spp_richness_rarefied",0.00895034615740327,0.00824153502548041,-0.00873214891676222,0.0329982528228231,-0.00460615120041236,0.0267013285256175,-0.00276081273613824,0.023619685501386,-0.000702289602229999,0.0202783922193542
"16","sppt_mm_12moPrior","spp_richness_rarefied",-0.00431853365122568,0.00718931636717862,-0.0263436150137798,0.0124354941284148,-0.0204054528364989,0.00811614019447397,-0.0176147611083653,0.00614830066252759,-0.0140316658246591,0.0037534937613245
"17","stmax_C_12moPrior","spp_richness_rarefied",0.00411997874184211,0.00833758363736233,-0.0174928314396674,0.0302327870851334,-0.0111101883641112,0.0229443275394688,-0.00803803780073536,0.0192512522263363,-0.00510564224252984,0.0151348200325731
"18","sstrahler_streamOrder","spp_richness_rarefied",-0.00509798998810807,0.0037818841487811,-0.0156249929130446,0.00369786821585911,-0.0127078962743664,0.00187803880076743,-0.0116054359087786,0.000766342425072424,-0.0100759455689434,-0.000349013530107072
"19","saccumulation_atPoint","spp_richness_rarefied",0.00321140920110118,0.00311941533674829,-0.00462969506773718,0.0116610787845826,-0.00259307761272633,0.00955684544742339,-0.00169949898309544,0.00854272054297867,-0.000628732168668742,0.00735524824069956
"20","selevation_atPoint","spp_richness_rarefied",-0.001975037121093,0.005673059825625,-0.019476547899205,0.0127359598247919,-0.0142067309266804,0.00870403733560891,-0.0120121510249292,0.00689894039830135,-0.00925981738255201,0.00481415085932148
"21","sslope_mean","spp_richness_rarefied",-0.00324880024028566,0.00440741578800263,-0.0153621670320628,0.00742643649600768,-0.0123540394247898,0.00473372043166862,-0.0108171047846997,0.0036528899096848,-0.00905663213993146,0.00208685295377942
"22","surban_meanPerc_upstr","spp_richness_rarefied",-0.001651257446241,0.00312358001990136,-0.0103090184739487,0.00591618859930629,-0.00803751291258791,0.00431093737039263,-0.00695822873974544,0.00327410204569442,-0.00573165955259721,0.00218128995520528
"23","scrop_meanPerc_upstr","spp_richness_rarefied",-0.0264521709361756,0.00702876496168564,-0.044576127250036,-0.00786221669726603,-0.0402058382987703,-0.0124246237353353,-0.0379219307565061,-0.0148705436932786,-0.0355183669049545,-0.0175002536295078
