Model,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90,percEstimate,percEst.Error,percQ0.5,percQ99.5,percQ2.5,percQ97.5,percQ5,percQ95,percQ10,percQ90
MetaWeighted,E10,-0.005010595,0.002188445,-0.010753919,0.00079896,-0.009315551,-0.000709952,-0.008598846,-0.001387097,-0.007813185,-0.002206591,-0.5010595,0.2188445,-1.0753919,0.079896,-0.9315551,-0.0709952,-0.8598846,-0.1387097,-0.7813185,-0.2206591
MetaWeighted,turnover,-0.001641197,0.001881013,-0.006916068,0.003114539,-0.00539575,0.002069431,-0.004770222,0.001461245,-0.004015287,0.000755037,-0.3022833,0.346453726,-1.273833584,0.573650285,-0.993814341,0.38115743,-0.878601683,0.269138903,-0.739554242,0.139066228
MetaWeighted,shannonsH,-0.001398207,0.005820233,-0.017991109,0.01388237,-0.013184559,0.009694064,-0.01100963,0.007863539,-0.008733463,0.00576405,-0.070679616,0.294213829,-0.909453809,0.701756311,-0.666481839,0.490036686,-0.556538785,0.397503317,-0.441478132,0.291373769
MetaWeighted,spp_richness_rarefied,0.091712037,0.085663887,-0.134530282,0.333551426,-0.07190628,0.269702881,-0.044343562,0.235207691,-0.01119266,0.200694678,0.476549304,0.445122222,-0.699039236,1.733182526,-0.373635662,1.401416046,-0.230415704,1.222173938,-0.058158716,1.04283922
MetaWeighted,func_rich,0.00999094,0.007009783,-0.008768739,0.028545391,-0.003801249,0.023883326,-0.001427198,0.021574518,0.001191319,0.018979865,0.999094,0.7009783,-0.8768739,2.8545391,-0.3801249,2.3883326,-0.1427198,2.1574518,0.1191319,1.8979865
MetaWeighted,FRed,0.000560061,0.000695244,-0.001330669,0.002506314,-0.000846935,0.001946124,-0.000581582,0.001694305,-0.000312184,0.001434169,0.192364414,0.238795782,-0.457045504,0.860844843,-0.290897161,0.668436121,-0.199756242,0.581943731,-0.107225985,0.492594698
MetaWeighted,func_even,-0.002666358,0.001906701,-0.007799012,0.002456159,-0.006475781,0.001077233,-0.005768499,0.000426056,-0.005076888,-0.000272273,-0.514829493,0.36815233,-1.505859827,0.474243554,-1.250365874,0.20799582,-1.113801454,0.082264345,-0.980262844,-0.052571399
MetaWeighted,func_turnover,-0.014207512,0.011524247,-0.04657075,0.017006279,-0.037394842,0.007960959,-0.033267305,0.004182129,-0.028405432,-6.49E-05,-1.410706158,1.159090696,-4.550297248,1.7151709,-3.670428935,0.799273169,-3.272003374,0.419088631,-2.800579065,-0.006489789
MetaWeighted,func_diverg,0.001245317,0.006502198,-0.016313643,0.019148112,-0.01188686,0.014282392,-0.009412445,0.012008742,-0.006916008,0.009297688,0.182410088,0.952421357,-2.389570727,2.804754764,-1.741149582,2.092039518,-1.378705115,1.759002471,-1.013034934,1.361895873
MetaWeighted,RaoQ,0.011538056,0.110842986,-0.308477877,0.298128552,-0.21710039,0.223707442,-0.169655779,0.187720256,-0.126887488,0.146283333,0.030596902,0.293936172,-0.818029265,0.790584669,-0.575712184,0.593232928,-0.449897391,0.497801218,-0.336483379,0.387917761
MetaWeighted,alien_SppRich,0.04935098,0.003470462,0.04498628,0.05625817,0.04555173,0.05584884,0.04581704,0.05564004,0.04606428,0.05515852,3.475328597,0.244392226,3.167963541,3.961737478,3.207782904,3.932912189,3.226466209,3.918208355,3.243877013,3.884299399
MetaWeighted,alien_abund,0.035102151,0.013318379,-0.000607834,0.071328044,0.008431885,0.062096303,0.013261882,0.056693093,0.018506393,0.051801119,3.5102151,1.3318379,-0.0607834,7.1328044,0.8431885,6.2096303,1.3261882,5.6693093,1.8506393,5.1801119
MetaWeighted,native_SppRich,0.227762066,0.121806409,-0.112607958,0.544674188,-0.017097408,0.470257757,0.029498963,0.422259863,0.077418202,0.379241498,0.827375946,0.442477953,-0.409063359,1.978601307,-0.062108605,1.708273741,0.1071589,1.533915018,0.281231898,1.377645095
MetaWeighted,native_abund,0.006305253,0.004632961,-0.006328219,0.018218473,-0.002793345,0.015532449,-0.001233347,0.01382373,0.00041291,0.012179046,0.6305253,0.4632961,-0.6328219,1.8218473,-0.2793345,1.5532449,-0.1233347,1.382373,0.041291,1.2179046
MetaWeighted,EPT_SppRich,0.04022585,0.01306884,0.01744497,0.05584558,0.01878941,0.05537085,0.02031564,0.05514258,0.02176512,0.05492225,0.433489301,0.140834869,0.187993737,0.601813546,0.202481941,0.596697672,0.218929186,0.594237746,0.234549342,0.591863385
MetaWeighted,EPT_abund,0.008466561,0.004357267,-0.001112467,0.01810147,-0.000471309,0.01740013,0.000450069,0.01677902,0.003792523,0.01577159,0.8466561,0.4357267,-0.1112467,1.810147,-0.0471309,1.740013,0.0450069,1.677902,0.3792523,1.577159
MetaWeighted,insect_SppRich,0.158681717,0.082569722,-0.052792075,0.387204698,0.002536336,0.324860721,0.027491424,0.298034986,0.053991854,0.263446432,0.826615155,0.430127584,-0.275007922,2.017051981,0.013212447,1.692285667,0.14321012,1.552543298,0.281257889,1.372362345
MetaWeighted,insect_abund,0.011115213,0.005421359,-0.00398667,0.025673566,0.000575463,0.021710123,0.002336292,0.019908537,0.00423888,0.017909466,1.1115213,0.5421359,-0.398667,2.5673566,0.0575463,2.1710123,0.2336292,1.9908537,0.423888,1.7909466
MetaUnweighted,spp_richness,0.249419397,0.111872311,-0.040694302,0.567866178,0.032021777,0.475089056,0.069989415,0.43237541,0.110698128,0.391128593,0.914055306,0.409982065,-0.149133721,2.081077492,0.117351239,1.741074182,0.256492466,1.584540106,0.405678999,1.433381566
MetaUnweighted,abundance,0.012226313,0.004585836,0.000495126,0.025246947,0.003393813,0.021498411,0.004833057,0.019784635,0.006403093,0.018066325,1.2226313,0.4585836,0.0495126,2.5246947,0.3393813,2.1498411,0.4833057,1.9784635,0.6403093,1.8066325
MetaUnweighted,E10,-0.003705366,0.001257906,-0.007345947,-0.000500911,-0.006254611,-0.001378199,-0.005814882,-0.001698677,-0.005291058,-0.00214823,-0.3705366,0.1257906,-0.7345947,-0.0500911,-0.6254611,-0.1378199,-0.5814882,-0.1698677,-0.5291058,-0.214823
