"","site","tmax_Est"
"1",100000001,0.0410574627228522
"2",100000002,0.0154613097121721
"3",100000003,-0.0123029868342067
"4",100000004,0.015040224338521
"5",100000005,0.013469460940797
"6",100000006,0.0101762999170191
"7",100000007,0.00974640113605126
"8",100000009,0.037819225160517
"9",100000010,0.0398349307436716
"10",100000011,0.0395028781534014
"11",100000012,0.0379659726993872
"12",100000013,0.0391741252557498
"13",100000014,0.0389675761299685
"14",100000015,0.0443869385367659
"15",100000016,0.0414333440682378
"16",100000017,0.0377641636864888
"17",100000018,0.0406715563113278
"18",100000019,0.0395723699857038
"19",100000020,0.0472292563507461
"20",100000021,0.048547105484492
"21",100000022,0.0345935970052971
"22",100000023,0.0397507302023352
"23",100000024,0.0360178406320063
"24",100000025,0.0417094761356432
"25",100000026,0.0395476731299303
"26",100000027,0.038633976435657
"27",100000028,0.0372779516256471
"28",100000029,0.0324490667278807
"29",100000030,0.0379043878032483
"30",100000031,0.0378325973719001
"31",100000032,0.0328169856276682
"32",100000033,0.0285782350600192
"33",100000034,0.023776218367202
"34",100000035,0.0293872626564241
"35",100000036,0.0305883973725558
"36",100000037,0.0363548591917822
"37",100000038,0.0182360339813274
"38",100000039,0.0272875631516871
"39",100000040,0.0194365317408299
"40",100000041,0.0282439306717734
"41",100000042,0.0198912518154504
"42",100000043,0.0261225791732913
"43",100000044,0.024883321316607
"44",100000045,0.0302354949281266
"45",100000046,0.0284850518172644
"46",100000047,0.0229625430651314
"47",100000048,0.0281500560246943
"48",100000049,0.0351099723932194
"49",100000050,0.0280450522863733
"50",100000051,0.0309701576126852
"51",100000052,0.0187350359080678
"52",100000053,0.0606220891553736
"53",100000054,0.0384255919909252
"54",100000055,0.0272355210566438
"55",100000056,0.0241559317434261
"56",100000057,0.0197146574075156
"57",100000058,0.029715059947969
"58",100000059,0.0216351966962429
"59",100000060,0.0202661023565616
"60",100000061,0.0140726806452456
"61",100000062,0.0111668927498576
"62",100000063,0.0226043080976288
"63",100000064,0.0226930809865894
"64",100000065,0.0201704413755622
"65",100000066,0.0210815684551587
"66",100000067,0.0130200790295128
"67",100000068,0.0222262562982624
"68",100000069,0.01953613574581
"69",100000070,0.0163229155532321
"70",100000071,0.0193386251132117
"71",100000072,0.021908080802811
"72",100000073,0.0214866317133348
"73",100000074,0.0196223634399223
"74",100000075,0.0104812641419814
"75",100000076,0.020903049723298
"76",100000077,0.020551703700234
"77",100000078,0.018936246874727
"78",100000079,0.0163728488689375
"79",100000080,0.0192627725700624
"80",100000081,0.0221634659864901
"81",100000082,0.0210082118934948
"82",100000083,0.0212016390192629
"83",100000084,0.0215591510100302
"84",100000085,0.0277398778080349
"85",100000086,0.0207042721353951
"86",100000088,-0.00115925809941612
"87",100000089,0.0220557786941612
"88",100000090,0.0294213899802374
"89",100000091,0.0215330754779682
"90",100000092,0.0141335871299822
"91",100000093,0.0299983645852423
"92",100000094,0.0258489001530068
"93",100000095,0.0167976815689895
"94",100000096,0.0301937017518901
"95",100000097,0.0221417199296726
"96",100000098,0.0182420711127042
"97",100000099,0.0198394489725499
"98",100000100,0.0191326775540962
"99",100000101,0.0175019491224268
"100",100000102,-0.00625012471398768
"101",100000103,0.0159526827234739
"102",100000104,-0.00139152586838446
"103",100000106,0.0203108457917828
"104",100000107,0.0203834351825739
"105",100000108,0.0165295661488674
"106",100000109,0.0110508738496419
"107",100000110,0.0209777813795708
"108",100000111,0.0008336631078066
"109",100000112,0.0235432421717198
"110",100000113,0.0209884782210728
"111",100000114,0.0252174988465895
"112",100000115,0.0277332769505709
"113",100000116,0.0220827852704156
"114",100000118,0.0312485249591649
"115",100000119,0.0274734792481746
"116",100000120,-0.00273575418076652
"117",100000121,0.0271244134637547
"118",100000122,0.0275981559286403
"119",100000123,0.0294335004120789
"120",100000124,0.0296409760416381
"121",100000125,0.0298544795796062
"122",100000126,0.0286229343521917
"123",100000127,0.0171980533175428
"124",100000128,0.0195468885626006
"125",100000129,0.0193449036353295
"126",100000130,-0.000184705462124654
"127",100000131,0.0209079879752965
"128",100000132,0.0197039970920189
"129",100000133,0.0285799619105167
"130",100000134,0.0148797397383904
"131",100000135,0.0226279235045569
"132",100000136,0.0126836870852551
"133",100000137,0.020876722020924
"134",100000138,0.0126827805663908
"135",100000139,0.0196064436307883
"136",100000140,0.0238503428156865
"137",100000141,0.0286814413374965
"138",100000142,0.027913836578695
"139",100000143,0.0280167947688727
"140",100000144,0.0259729510696658
"141",100000145,0.0224815299009968
"142",100000146,0.0260816283165917
"143",100000147,0.0249859173097386
"144",100000148,0.00965895199812976
"145",100000149,0.0110169992598144
"146",100000150,0.0116325737448924
"147",100000151,-0.0120066094694093
"148",100000152,0.0210685830178823
"149",100000153,-0.0114623371506207
"150",100000154,0.00394310573234504
"151",100000155,0.00471608274642214
"152",100000156,0.0182550713132904
"153",100000157,0.0173071608017368
"154",100000158,0.0240479190978938
"155",100000159,0.0266450204290717
"156",100000160,0.0217046124321739
"157",100000161,0.0133235706201303
"158",100000162,0.029218685032316
"159",100000163,0.034271914605461
"160",100000164,0.0345198090634594
"161",100000165,0.0350482632934326
"162",100000166,0.0346608220671051
"163",100000167,0.0288167080680738
"164",100000168,0.0245614675168898
"165",100000169,0.0348370932278955
"166",100000170,0.0353031787651664
"167",100000171,0.035669550978406
"168",100000172,0.0364553465867206
"169",100000173,0.0379341741775563
"170",100000174,0.0304349938320434
"171",100000175,0.0380884100865888
"172",100000176,0.0356397633152129
"173",100000177,0.0378632446461836
"174",100000178,0.0293326087139652
