StartYear,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90,site_num
1998,SppRich_nativeSpp,0.298456044,0.160570258,-0.173617569,0.736316479,-0.019993645,0.619645888,0.033848322,0.559498452,0.103901496,0.497085588,441
1999,SppRich_nativeSpp,0.192959089,0.177027641,-0.324142249,0.68373325,-0.169632815,0.542710726,-0.099119605,0.477827651,-0.021371922,0.411322118,489
2000,SppRich_nativeSpp,0.317703632,0.139436245,-0.083625821,0.691964645,0.031823862,0.587187834,0.088204055,0.542549518,0.1423818,0.490578312,551
2001,SppRich_nativeSpp,0.251262147,0.147006114,-0.143760382,0.663496597,-0.043686668,0.543707051,0.010666551,0.489074675,0.074623828,0.432123004,605
2002,SppRich_nativeSpp,0.241755031,0.160641764,-0.198620222,0.693104008,-0.072466045,0.563343712,-0.014927434,0.50545563,0.045183754,0.439647163,659
2003,SppRich_nativeSpp,0.209137019,0.168451847,-0.283774175,0.684279042,-0.113672958,0.542211794,-0.054438916,0.486016455,0.006334986,0.415393456,779
2004,SppRich_nativeSpp,0.269832976,0.190199039,-0.294226743,0.78028068,-0.098022994,0.63583139,-0.035196264,0.575590765,0.038943203,0.500889045,854
2005,SppRich_nativeSpp,0.261599062,0.170308568,-0.222124575,0.711144022,-0.082381489,0.602746695,-0.014549729,0.5419193,0.051519324,0.465348825,872
2006,SppRich_nativeSpp,0.183052405,0.144518066,-0.22655696,0.562607097,-0.120430058,0.463245576,-0.057026838,0.412656654,0.002750197,0.359360992,898
2007,SppRich_nativeSpp,0.122069817,0.130439446,-0.244049478,0.471385599,-0.147915168,0.383632823,-0.097091793,0.335962935,-0.041277176,0.284217423,935
2008,SppRich_nativeSpp,-0.039484051,0.17091593,-0.498475238,0.402009582,-0.380326238,0.29439489,-0.324202411,0.23860553,-0.256604559,0.17665356,973
2009,SppRich_nativeSpp,-0.326345319,0.330453915,-1.167422149,0.866814825,-0.932929959,0.5547187,-0.812725429,0.199981207,-0.701396442,0.036787058,494
