"","site","ppt_Est"
"1",100000001,-2.28598605825185
"2",100000002,1.68567678692407
"3",100000003,-3.33619317323129
"4",100000004,2.06203281037152
"5",100000005,-1.50402093697195
"6",100000006,-0.378874249361216
"7",100000007,-0.476481476508108
"8",100000009,-1.95637769987804
"9",100000010,-1.80414478897217
"10",100000011,-1.50101840456459
"11",100000012,-3.01095692506375
"12",100000013,-3.02323216861187
"13",100000014,-3.18852052031067
"14",100000015,-1.40029770101799
"15",100000016,-0.014794921977868
"16",100000017,0.629919238578124
"17",100000018,0.194569722663965
"18",100000019,0.620523976499575
"19",100000020,-1.28621087860569
"20",100000021,-1.43735812136098
"21",100000022,0.981771296778137
"22",100000023,0.475356833375018
"23",100000024,-2.9728074086998
"24",100000025,-2.66886453571925
"25",100000026,-0.0201793757109959
"26",100000027,-0.790709539952055
"27",100000028,-0.642257993886435
"28",100000029,-0.676975172328586
"29",100000030,-1.10864455677689
"30",100000031,-1.2919791792669
"31",100000032,0.679634829122413
"32",100000033,0.73595018788785
"33",100000034,-0.912502013167991
"34",100000035,0.476413613429883
"35",100000036,-0.498527205939751
"36",100000037,-3.23765512101816
"37",100000038,-2.37625678717537
"38",100000039,-2.30716550160013
"39",100000040,-1.32848671513114
"40",100000041,-0.760611341125987
"41",100000042,-1.20565792710122
"42",100000043,0.579553013617946
"43",100000044,0.540067050301503
"44",100000045,-2.14732618643319
"45",100000046,-0.727107595389542
"46",100000047,0.31006697074195
"47",100000048,-2.12447493015705
"48",100000049,-0.603620038219125
"49",100000050,-1.79484731648205
"50",100000051,2.60576664532338
"51",100000052,-1.17340917175795
"52",100000053,0.955922442461813
"53",100000054,-1.63391826521531
"54",100000055,1.19554169444587
"55",100000056,-0.124425836238059
"56",100000057,-0.916006780558996
"57",100000058,-0.12387093374375
"58",100000059,-0.30647415773464
"59",100000060,-1.15531213419256
"60",100000061,-0.975321595894658
"61",100000062,1.08331966759323
"62",100000063,-0.691029908936092
"63",100000064,0.395609932223063
"64",100000065,1.12704139500367
"65",100000066,0.572859666480036
"66",100000067,-0.734989386909879
"67",100000068,-0.192050931429066
"68",100000069,-1.58104216672141
"69",100000070,-1.03988619055671
"70",100000071,-1.30048292692852
"71",100000072,0.490532057502645
"72",100000073,-1.29801716977216
"73",100000074,-5.82657352159566
"74",100000075,0.0586389093834607
"75",100000076,-1.98725906920544
"76",100000077,-1.96202415918101
"77",100000078,0.0090557964600404
"78",100000079,-1.75450946897219
"79",100000080,-0.432464645695108
"80",100000081,0.278165944848586
"81",100000082,0.677282649576342
"82",100000083,0.492543980219867
"83",100000084,0.254504519866801
"84",100000085,-5.43755761528146
"85",100000086,-0.225860187413625
"86",100000088,1.58452827636185
"87",100000089,1.83213253801505
"88",100000090,-1.25635765498048
"89",100000091,-0.316325547031679
"90",100000092,4.06324688974141
"91",100000093,1.76401107846017
"92",100000094,-0.156891294055916
"93",100000095,-2.44143219384492
"94",100000096,0.923213458645704
"95",100000097,1.32277829414103
"96",100000098,-0.256366183639978
"97",100000099,2.04027003734693
"98",100000100,2.65916653669502
"99",100000101,1.70104570979662
"100",100000102,1.65112270492821
"101",100000103,2.71741036693123
"102",100000104,3.54401841743332
"103",100000106,1.72033933907147
"104",100000107,2.56180707996653
"105",100000108,1.14840867434257
"106",100000109,3.14398702979739
"107",100000110,2.3792566132752
"108",100000111,0.72157110674407
"109",100000112,-2.17334427045069
"110",100000113,1.32879199448177
"111",100000114,-1.47937703463487
"112",100000115,-0.761055810304893
"113",100000116,0.296662098966549
"114",100000118,-2.16834029337773
"115",100000119,-4.81151172749967
"116",100000120,-1.92767915638713
"117",100000121,-1.92763466103398
"118",100000122,-4.15623641491963
"119",100000123,-1.29493771517295
"120",100000124,-1.83926292188425
"121",100000125,-1.9509342205606
"122",100000126,-2.80276786274887
"123",100000127,-6.58527230340259
"124",100000128,-6.36093774591556
"125",100000129,-6.26230114866128
"126",100000130,-14.0526551262851
"127",100000131,-5.67728318402544
"128",100000132,-6.00084009723628
"129",100000133,-2.46704739444343
"130",100000134,-3.64760262732408
"131",100000135,-4.393451205646
"132",100000136,-2.9836208432064
"133",100000137,-4.48405265557777
"134",100000138,-2.96713844580478
"135",100000139,-5.06272254475985
