"","StartYear","Response","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90","site_num","country_num"
"1","1990","abundance",-0.0400901200370551,0.0495092958294236,-0.23183120068196,0.12785569423199,-0.145560844556937,0.0541450988438923,-0.120473872819772,0.0336018810197668,-0.0958326990301048,0.0121268761075751,154,6
"2","1990","spp_richness",0.393617755890789,0.390129523617878,-0.890540439916512,1.58126235165408,-0.344936412332275,1.23266583360265,-0.192501887206533,1.04330721996731,-0.0458514859927606,0.855269448017735,154,6
"3","1990","FRic",0.0391736568644358,0.0319784430029338,-0.0674064377385273,0.146064570598267,-0.0270680559442758,0.10221757303698,-0.0108975445119263,0.0865279607565577,0.00509696849501541,0.0751709550768513,154,6
"4","1990","FRed",-0.00132419728596968,0.00367311150638791,-0.0127167441860917,0.00760663740282083,-0.0100536991867889,0.00527834863695929,-0.00835358502262707,0.0040241659513815,-0.00631347769909071,0.00270038465527487,154,6
"5","1991","abundance",-0.0258422239148301,0.0319870048206583,-0.123138142732457,0.0761181895300645,-0.0908487936670934,0.0358968760532683,-0.0779243055883408,0.0239837453253439,-0.0640504875607006,0.010090328457053,232,7
"6","1991","FRed",-0.00076329009108901,0.00291116952044691,-0.0108453394242853,0.0091332770801489,-0.0066412394771832,0.00504572617018473,-0.00526380269031162,0.00364675161605036,-0.00395735126109613,0.00239109084981751,232,7
"7","1991","spp_richness",0.0700077354021342,0.226678394429944,-0.574684786482707,0.733200072498074,-0.389886103006119,0.521961794217077,-0.303803478280446,0.442259867476754,-0.207898771131326,0.345239489927791,232,7
"8","1991","FRic",0.0164984870679192,0.025097110706324,-0.0523199281341963,0.114748080800104,-0.0290511516277907,0.0760159841043407,-0.0192407522871746,0.0581563175509279,-0.0107177030134284,0.0441131588288709,232,7
"9","1992","abundance",-0.00484172685801464,0.0256365223760731,-0.0769301674539516,0.0746026902504636,-0.0584147788687786,0.0467953373462459,-0.0470661287246308,0.036000688185058,-0.0367176435824057,0.0246549600006488,295,8
"10","1992","FRed",0.000309071527302457,0.00250550121743963,-0.00711173155793203,0.00831994382255622,-0.00473749203404573,0.00529395693978229,-0.00370405838068714,0.00427439197079486,-0.00268330184901227,0.0032334794108096,295,8
"11","1992","FRic",0.0136972274134736,0.0204741499944214,-0.0436269381100694,0.080512482534269,-0.0244733403369116,0.0582857502242183,-0.0177508689506846,0.0488529014431426,-0.00996157352053049,0.0380764998047324,295,8
"12","1992","spp_richness",0.104093115277793,0.317766954553121,-1.01013137215265,0.921363306269909,-0.603868160681143,0.683025844937701,-0.412206038357155,0.582586391035779,-0.252006620193943,0.465578213246463,295,8
"13","1993","abundance",-0.000633382161892369,0.0178143116928969,-0.0644309846239491,0.0484850074433634,-0.037507596009461,0.0322670038268037,-0.0300947757113576,0.0252894342291162,-0.0220810955964572,0.0192881339788827,333,9
"14","1993","FRed",0.00076778071436861,0.00260681197674268,-0.00749709320073938,0.0088397739207883,-0.00453541192002498,0.00621257026345962,-0.00336641040225564,0.00516794717553921,-0.00225887316506859,0.00383227354588976,333,9
"15","1993","FRic",-0.000769539724249646,0.0152442794816103,-0.0465902118555543,0.0483113531688718,-0.0290898479686746,0.0314307385797995,-0.0236516370115757,0.0237518828929031,-0.0182375966413087,0.0174102049626523,333,9
"16","1993","spp_richness",0.122341207730957,0.271794433587251,-0.786182120493727,0.865760374858868,-0.517349708499317,0.64074061835001,-0.32699088529054,0.546838544161856,-0.194220527328757,0.434034042903641,333,9
"17","1994","abundance",-0.00243526254696792,0.0142698537695033,-0.0448950625840448,0.0404783119137823,-0.0314826656842087,0.0261758949486217,-0.0249817777618202,0.0201912400989055,-0.0191613609982623,0.0143961781369469,426,10
"18","1994","FRed",4.79458485508002e-06,0.00203500168904549,-0.00659633608902164,0.0060447239830632,-0.00410192152168849,0.00397930962637567,-0.00325801961005785,0.00315904364191296,-0.00240980684737418,0.00234673666408149,426,10
"19","1994","FRic",6.15239132783314e-05,0.0220640430276181,-0.0603625653453367,0.0686031856912809,-0.0420916597894346,0.0445899474451203,-0.0340428313063658,0.0365832501652545,-0.0260941517602425,0.0273978772464313,426,10
"20","1994","spp_richness",0.148787145151381,0.277601092016501,-0.530077602331069,0.956327079349744,-0.359936888610775,0.749808365353712,-0.273890504791095,0.633415356492527,-0.188170826016868,0.507022541558761,426,10
"21","1995","abundance",0.00402962891400348,0.0135884964579398,-0.0345222080412956,0.0433787914237938,-0.0229243108689563,0.0325258492280074,-0.017539688066289,0.0265144010442494,-0.0120601343555096,0.0208564771332155,493,10
"22","1995","FRed",0.000443672052516008,0.00184927945065063,-0.0046243108729686,0.0066176514839844,-0.00313147793645695,0.00431191729200691,-0.00244250725472159,0.00348791209956254,-0.00177260776240496,0.00263903131990662,493,10
"23","1995","FRic",0.00990730617486786,0.0150906598399835,-0.0336857638817696,0.057823575957559,-0.0205801427492556,0.0406568473967855,-0.0142704831830757,0.0341241331648167,-0.0082082591010846,0.0274270650100571,493,10
"24","1995","spp_richness",0.355172394855475,0.365828028900474,-0.609115367755348,1.62659520137823,-0.341794195229577,1.11046371961646,-0.207703361351937,0.961294748347861,-0.0806702136050446,0.801211952876186,493,10
"25","1996","abundance",0.00337048102593265,0.0107892636096826,-0.0247382233536698,0.0347150746058276,-0.0172927485480136,0.0256445417891604,-0.0136947755781859,0.0216923589937284,-0.00993116111653153,0.0169486091774297,535,10
