"","Response","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"x","spp_richness",-0.0194453487821117,0.00550946141968905,-0.0334200783973035,-0.00492974956715488,-0.0302399344433972,-0.00843297234382632,-0.0284390255458639,-0.0103649356354795,-0.026502465458537,-0.0124676094237393
"x1","abundance",8.99379868115669e-05,0.000251873985843349,-0.000546863187296063,0.000745669795828861,-0.000406019160973922,0.000581553153938708,-0.000331092150579577,0.000502129162449212,-0.00023650328150382,0.000409505548950751
"x2","FRic",-0.000437819409562152,0.000231604141649709,-0.00104476438384023,0.00017758605434383,-0.000887632508668613,5.75583450789167e-06,-0.000818314750560813,-6.23624449086349e-05,-0.000735914838276793,-0.000144268156720614
"x3","FRed",-2.59565750750851e-05,2.78295640302472e-05,-0.000101193007327076,4.44598080113165e-05,-8.17328232385163e-05,2.77497974606832e-05,-7.23236103014499e-05,1.91301958268389e-05,-6.13566926653857e-05,9.18118817403727e-06
