Lat,Response,StartYear,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
north,abundance,2008,0.006978086,0.011349443,-0.025107813,0.036634311,-0.016139411,0.029128756,-0.011677707,0.025220846,-0.007314307,0.021198671
north,abundance,2009,-0.005115843,0.014156273,-0.044804791,0.032822634,-0.034107228,0.022177648,-0.029139619,0.017441142,-0.022925768,0.012049091
north,abundance,2010,0.003949186,0.018483529,-0.048178955,0.057329581,-0.032649328,0.04074093,-0.025906093,0.034084001,-0.018418479,0.026888371
north,abundance,2011,0.004358333,0.016660662,-0.041978183,0.041224125,-0.029622674,0.029736003,-0.023412908,0.027559913,-0.017268504,0.02446876
north,SppRich,1971,0.388545612,2.615137832,-7.581858912,7.463437225,-5.406722371,5.552239127,-4.22404099,4.573464494,-2.88124735,3.46410325
north,SppRich,1972,0.633936393,2.768646617,-7.002387547,8.434057226,-5.078745274,6.555534048,-3.918585616,5.296497796,-2.727078699,4.177482218
north,SppRich,1973,0.506750608,2.641603761,-6.711299034,8.321696971,-4.780838775,5.880632893,-3.925614855,4.865517659,-2.988958776,3.708429642
north,SppRich,1974,0.837173827,2.69795978,-7.589754642,8.911169997,-5.171496625,6.30589784,-3.805596063,4.985005718,-2.445023962,3.903546429
north,SppRich,1975,0.901621714,2.691534327,-7.264898283,8.714628207,-5.082997699,6.451230891,-3.733199918,5.395644735,-2.401865677,4.147418602
north,SppRich,1976,0.038819213,3.080761952,-7.144199523,9.305493849,-5.673908449,6.151472039,-5.075345144,4.76833042,-4.650837072,3.513674197
north,SppRich,1977,0.693581648,1.564315382,-4.219813471,6.126445893,-2.623228772,4.116696746,-1.925852786,3.29070945,-1.13163498,2.395714871
north,SppRich,1978,0.55185884,1.709488166,-6.694162156,5.391410979,-3.527331188,3.896714542,-2.416610916,3.500451176,-1.292510161,2.501777921
north,SppRich,1979,0.462535568,1.010761011,-2.957769106,4.079123305,-1.748857774,2.599472644,-1.137825371,2.039800701,-0.618681165,1.587539602
north,SppRich,1980,0.086311274,1.057227311,-3.172795685,3.675479115,-2.234544957,2.413539496,-1.638183791,1.805610602,-1.087463908,1.305983342
north,SppRich,1981,0.083987495,1.064651167,-2.875437977,3.922440392,-2.454399086,2.389820388,-1.807914586,1.777086616,-1.195541579,1.214442467
north,SppRich,1982,0.243667026,1.162907963,-3.436875176,3.870287663,-2.542289766,2.568528446,-1.888559725,2.031587859,-1.141417177,1.474768225
north,SppRich,1983,0.380091821,1.144393047,-3.534068194,3.474491866,-2.227991117,2.661598421,-1.663469066,2.15852316,-1.006961379,1.625176833
north,SppRich,1984,0.58792829,1.625216843,-4.361751528,5.620052693,-2.78269081,4.145422861,-2.058680134,3.267469385,-1.358373869,2.515033048
north,SppRich,1985,0.644547089,1.593898119,-4.85671767,5.573908959,-3.129472871,3.921743373,-2.191163171,3.115722324,-1.191910854,2.41674509
north,SppRich,1986,1.069753262,2.183726099,-4.604878254,7.634469764,-2.874702834,6.678299382,-2.179857861,5.559526395,-1.338916124,4.155108088
north,SppRich,1987,1.16507242,2.264927522,-5.801748627,9.149100492,-3.534347804,5.89055247,-2.518941258,4.88059532,-1.449249573,3.727353128
north,SppRich,1988,0.412387439,1.313981437,-3.811168395,4.479555655,-2.329647644,3.189474863,-1.71361584,2.650739509,-1.096693876,1.96707362
north,SppRich,1989,0.312616111,1.345751047,-3.07126788,4.04806321,-1.961717599,3.767650976,-1.524183449,3.601994058,-1.015863864,2.108593696
north,SppRich,1990,0.038930653,0.753520877,-2.359235724,2.736237628,-1.570197098,1.634367977,-1.191690137,1.216468621,-0.801519049,0.84841954
north,SppRich,1991,0.155501295,0.729735671,-2.232266415,2.703059518,-1.224216277,1.749550549,-0.890808545,1.399772173,-0.606220538,1.004910981
north,SppRich,1992,0.599768891,0.608005358,-1.022565959,2.371540859,-0.566001736,1.906179682,-0.350086782,1.627215292,-0.122434301,1.368476537
north,SppRich,1993,0.56029132,0.556832794,-1.120975225,2.091687882,-0.554457379,1.678860495,-0.361839497,1.494489329,-0.103200524,1.250844227
north,SppRich,1994,0.686404554,0.673180295,-0.856259965,2.809578631,-0.434078876,2.685012913,-0.295589822,2.368679856,-0.019152661,1.380233065
north,SppRich,1995,0.36812584,0.418608211,-1.046260432,1.658164543,-0.446891565,1.245630811,-0.277019157,1.060033764,-0.097513085,0.870217561
north,SppRich,1996,0.419440553,0.290751078,-0.434919367,1.353360319,-0.138463449,1.030273365,-0.033898433,0.892986525,0.084617187,0.766476481
north,SppRich,1997,0.20439132,0.283364151,-0.814099776,0.993795337,-0.384690177,0.7656423,-0.263757162,0.64487428,-0.129127678,0.53595463
north,SppRich,1998,0.214541216,0.215685989,-0.393319083,0.904100691,-0.226988727,0.642479914,-0.13828899,0.563213628,-0.049483737,0.471436808
north,SppRich,1999,0.093745725,0.232886077,-0.570467912,0.782203823,-0.374299529,0.571896984,-0.280593039,0.467314885,-0.188293788,0.366938278
north,SppRich,2000,0.300352831,0.212344388,-0.304688057,0.908862317,-0.119043976,0.731939708,-0.051639123,0.639826902,0.030691195,0.556171296
north,SppRich,2001,0.315690365,0.163524889,-0.159973048,0.821611903,-0.007606802,0.646965174,0.049996533,0.579253375,0.117487056,0.507654782
north,SppRich,2002,0.312303589,0.173809584,-0.119106952,0.886093256,-0.002445067,0.704396582,0.055086926,0.615720335,0.113502031,0.527092513
north,SppRich,2003,0.263768272,0.193485013,-0.206082191,0.888340266,-0.063725286,0.711372949,0.000227945,0.61235068,0.053682593,0.515045372
north,SppRich,2004,0.251891775,0.21823709,-0.342828647,0.910133676,-0.164054358,0.709682532,-0.084542597,0.623138491,-0.011335487,0.53334301
north,SppRich,2005,0.216197037,0.16226568,-0.203324681,0.721513253,-0.072188099,0.576374604,-0.021365791,0.505494866,0.029850109,0.424126863
north,SppRich,2006,0.207701701,0.192546475,-0.354372458,0.795975526,-0.162418799,0.615518792,-0.088591715,0.5345971,-0.011623982,0.453242069
north,SppRich,2007,0.111716341,0.100170369,-0.189906869,0.420782039,-0.080934993,0.327105141,-0.041482302,0.279021724,-0.004582738,0.23653145
north,SppRich,2008,-0.197160998,0.284051821,-1.153530017,0.490081414,-0.854190009,0.279515552,-0.720724378,0.198572132,-0.567467094,0.118062632
north,SppRich,2009,-0.204411972,0.254133255,-1.013693522,0.488727484,-0.75372891,0.270731894,-0.63776066,0.182709664,-0.523368937,0.086436638
north,SppRich,2010,0.006707273,0.15735681,-0.474130887,0.447827588,-0.343407708,0.289498963,-0.274344216,0.239262525,-0.18822522,0.187570136
north,SppRich,2011,0.024268708,0.198296631,-0.647360515,0.619606146,-0.395083875,0.407983759,-0.302314922,0.325079689,-0.209119273,0.249638176
south,abundance,1971,0.069683001,2.469497442,-6.962215112,7.066633237,-5.067967646,5.288515223,-4.122520395,4.16431869,-2.947256682,3.102472854
south,abundance,1972,-0.007540874,2.556218309,-7.300590269,7.417601988,-5.222783658,5.334040502,-4.291891104,4.391047383,-3.222241615,3.194954103
