code,site_id,day,month,year,country,sampling_method,unit,spp_richness,simpsonsD,shannonsH,evennessJ,abundance,turnover
100000004_20_9_2007,100000004,20,9,2007,France,IBGN,,17,0.659788871,1.588394475,0.560633557,371,0.533333333
100000004_28_9_2011,100000004,28,9,2011,France,IBGN,,35,0.695698786,1.773519653,0.498831513,2272,0.555555556
100000004_2_9_2013,100000004,2,9,2013,France,IBGN,,19,0.317076853,0.81174913,0.275688895,4869,0.540540541
100000004_25_9_2014,100000004,25,9,2014,France,IBGN,,20,0.460619867,1.202313857,0.401342225,1839,0.375
100000005_25_8_1997,100000005,25,8,1997,France,IBGN,,15,0.84564369,2.006048345,0.740772215,4470,NA
100000005_23_7_1998,100000005,23,7,1998,France,IBGN,,21,0.889028028,2.347534794,0.771068318,1516,0.56
100000005_21_7_2000,100000005,21,7,2000,France,IBGN,,25,0.822597902,2.165228081,0.672665924,1101,0.296296296
100000005_21_6_2006,100000005,21,6,2006,France,IBGN,,39,0.757705395,2.087081664,0.569686514,2942,0.476190476
100000005_11_6_2007,100000005,11,6,2007,France,IBGN,,33,0.718497403,1.74852205,0.500076725,3610,0.4
100000005_13_7_2010,100000005,13,7,2010,France,IBGN,,25,0.498851833,1.311181962,0.407341579,1827,0.388888889
100000005_27_7_2012,100000005,27,7,2012,France,IBGN,,36,0.605121864,1.458102484,0.406891245,6697,0.475
100000005_15_7_2013,100000005,15,7,2013,France,IBGN,,27,0.400923475,1.066050089,0.323453536,4033,0.425
100000005_29_7_2014,100000005,29,7,2014,France,IBGN,,31,0.309542086,0.898362768,0.261609236,2950,0.342857143
100000005_11_6_2015,100000005,11,6,2015,France,IBGN,,30,0.432454318,1.16968731,0.343904566,3794,0.351351351
100000006_17_7_1997,100000006,17,7,1997,France,IBGN,,11,0.847560547,2.02690372,0.845284506,1802,NA
100000006_23_7_1998,100000006,23,7,1998,France,IBGN,,24,0.879409231,2.372971506,0.746674422,966,0.6
100000006_23_7_1999,100000006,23,7,1999,France,IBGN,,21,0.78726691,1.859603928,0.610803161,1669,0.269230769
100000006_27_7_2000,100000006,27,7,2000,France,IBGN,,22,0.750052407,1.80756356,0.584774744,1305,0.346153846
100000006_19_5_2005,100000006,19,5,2005,France,IBGN,,31,0.636810462,1.745578061,0.508323985,2855,0.441176471
100000006_13_7_2006,100000006,13,7,2006,France,IBGN,,30,0.738950388,1.785647252,0.525005476,6288,0.512195122
100000006_19_7_2007,100000006,19,7,2007,France,IBGN,,37,0.711143905,1.678641521,0.464879447,5652,0.325
100000006_15_7_2013,100000006,15,7,2013,France,IBGN,,21,0.696180109,1.677974033,0.551145235,1599,0.512820513
100000006_28_7_2014,100000006,28,7,2014,France,IBGN,,22,0.583489215,1.388100985,0.449072119,3057,0.28
100000006_4_6_2015,100000006,4,6,2015,France,IBGN,,31,0.592344043,1.476535817,0.429977087,4345,0.34375
100000007_10_7_1997,100000007,10,7,1997,France,IBGN,,32,0.941807025,2.998882281,0.865294519,1194,NA
100000007_23_7_1998,100000007,23,7,1998,France,IBGN,,18,0.856148586,2.151409918,0.744336749,1172,0.571428571
100000007_23_6_1999,100000007,23,6,1999,France,IBGN,,20,0.883440077,2.416040499,0.806494132,1212,0.416666667
100000007_21_7_2000,100000007,21,7,2000,France,IBGN,,32,0.787013198,2.104083308,0.607110111,1276,0.514285714
100000007_18_5_2005,100000007,18,5,2005,France,IBGN,,36,0.698883614,1.823383265,0.508824788,5201,0.380952381
100000007_5_7_2006,100000007,5,7,2006,France,IBGN,,32,0.813556653,2.113410897,0.609801484,3863,0.341463415
100000007_12_6_2007,100000007,12,6,2007,France,IBGN,,42,0.878141053,2.553785582,0.683256104,3496,0.391304348
100000007_13_5_2009,100000007,13,5,2009,France,IBGN,,45,0.711099773,1.94388548,0.510653488,7328,0.326923077
100000007_18_6_2012,100000007,18,6,2012,France,IBGN,,30,0.661700284,1.731147441,0.508981763,3724,0.369565217
100000007_3_6_2013,100000007,3,6,2013,France,IBGN,,37,0.749338644,1.871138936,0.518189275,7472,0.282051282
100000007_12_6_2014,100000007,12,6,2014,France,IBGN,,34,0.72520271,2.064564319,0.585466036,2358,0.386363636
100000007_16_6_2015,100000007,16,6,2015,France,IBGN,,33,0.68086786,1.856535386,0.530968503,4523,0.236842105
100000009_7_8_1997,100000009,7,8,1997,France,IBGN,,27,0.382939837,1.116453007,0.338746441,949,NA
100000009_31_8_1998,100000009,31,8,1998,France,IBGN,,29,0.76971355,1.927119044,0.572304645,1910,0.486486486
100000009_17_8_1999,100000009,17,8,1999,France,IBGN,,20,0.299095793,0.769711408,0.25693598,2094,0.46875
100000009_11_8_2000,100000009,11,8,2000,France,IBGN,,24,0.668704098,1.475353512,0.464231756,2077,0.428571429
100000009_3_8_2007,100000009,3,8,2007,France,IBGN,,46,0.910095201,2.733913907,0.714068941,2936,0.510638298
100000009_6_8_2008,100000009,6,8,2008,France,IBGN,,38,0.802281223,2.241871966,0.616307592,2047,0.32
100000009_20_7_2010,100000009,20,7,2010,France,IBGN,,37,0.716595404,1.851909955,0.512864042,2180,0.4375
100000009_2_8_2011,100000009,2,8,2011,France,IBGN,,38,0.787132898,2.09891488,0.577007606,3316,0.404255319
100000009_15_8_2012,100000009,15,8,2012,France,IBGN,,37,0.882896918,2.615237217,0.724258286,1407,0.404255319
100000009_30_9_2014,100000009,30,9,2014,France,IBGN,,39,0.792153548,2.243358536,0.612343602,3225,0.416666667
100000009_15_7_2015,100000009,15,7,2015,France,IBGN,,40,0.533268541,1.458434099,0.395359652,5111,0.354166667
100000009_20_7_2016,100000009,20,7,2016,France,IBGN,,39,0.868525984,2.375377489,0.648379287,2466,0.282608696
100000010_8_8_1997,100000010,8,8,1997,France,IBGN,,18,0.415602064,1.028777345,0.355932534,2233,NA
100000010_31_8_1998,100000010,31,8,1998,France,IBGN,,25,0.565945306,1.351954186,0.420008183,1371,0.612903226
100000010_18_8_1999,100000010,18,8,1999,France,IBGN,,18,0.333093374,0.806475085,0.279021231,4439,0.612903226
100000010_17_8_2000,100000010,17,8,2000,France,IBGN,,23,0.677590182,1.693962048,0.540253603,1555,0.535714286
100000010_4_7_2007,100000010,4,7,2007,France,IBGN,,33,0.803411601,2.085628606,0.596489088,3222,0.486486486
100000010_6_8_2008,100000010,6,8,2008,France,IBGN,,32,0.839017272,2.208462119,0.63722747,2923,0.243243243
100000010_21_7_2010,100000010,21,7,2010,France,IBGN,,28,0.761134318,1.855860926,0.556946886,3124,0.333333333
100000010_4_8_2011,100000010,4,8,2011,France,IBGN,,34,0.83609834,2.275198651,0.645197403,3517,0.324324324
100000010_15_8_2012,100000010,15,8,2012,France,IBGN,,34,0.882033872,2.497955932,0.708366577,3220,0.256410256
100000010_17_7_2015,100000010,17,7,2015,France,IBGN,,34,0.852300525,2.349267005,0.666201595,3808,0.3
100000010_19_7_2016,100000010,19,7,2016,France,IBGN,,28,0.797085462,2.101190127,0.630570579,1733,0.368421053
100000011_23_8_1997,100000011,23,8,1997,France,IBGN,,23,0.502499288,1.176778238,0.375308694,4852,NA
100000011_10_8_1998,100000011,10,8,1998,France,IBGN,,18,0.688005141,1.599077364,0.5532428,1288,0.677419355
100000011_6_9_1999,100000011,6,9,1999,France,IBGN,,20,0.512118976,1.216509912,0.406080985,2064,0.592592593
100000011_25_8_2000,100000011,25,8,2000,France,IBGN,,18,0.633346189,1.520251974,0.525971086,636,0.538461538
100000011_2_8_2007,100000011,2,8,2007,France,IBGN,,29,0.848420207,2.186957368,0.649469924,1676,0.617647059
100000011_22_9_2008,100000011,22,9,2008,France,IBGN,,34,0.867945961,2.465300413,0.699106173,1256,0.25
100000011_20_9_2010,100000011,20,9,2010,France,IBGN,,35,0.881397807,2.383884452,0.670506631,3341,0.357142857
100000011_4_8_2011,100000011,4,8,2011,France,IBGN,,35,0.812889183,2.078420134,0.584589778,3250,0.372093023
100000011_15_8_2012,100000011,15,8,2012,France,IBGN,,31,0.81908352,2.198034143,0.640082217,1250,0.465116279
100000011_16_7_2015,100000011,16,7,2015,France,IBGN,,18,0.81369568,1.914393513,0.662334701,608,0.558823529
100000011_21_7_2016,100000011,21,7,2016,France,IBGN,,22,0.659253394,1.312267463,0.424538803,3453,0.461538462
100000012_20_8_1997,100000012,20,8,1997,France,IBGN,,26,0.439087929,1.180329238,0.36227571,1253,NA
100000012_20_8_1998,100000012,20,8,1998,France,IBGN,,35,0.744819018,2.042581259,0.574509506,2164,0.435897436
100000012_25_8_1999,100000012,25,8,1999,France,IBGN,,31,0.710502181,1.815061212,0.528557943,2028,0.390243902
100000012_24_8_2000,100000012,24,8,2000,France,IBGN,,28,0.566935217,1.466853809,0.440205217,1499,0.314285714
100000012_2_8_2007,100000012,2,8,2007,France,IBGN,,30,0.746600371,1.751981666,0.515107319,4851,0.294117647
100000012_5_8_2008,100000012,5,8,2008,France,IBGN,,28,0.633760272,1.459427454,0.437976556,6732,0.294117647
100000012_23_9_2010,100000012,23,9,2010,France,IBGN,,32,0.835442401,2.196718789,0.633839061,2128,0.235294118
100000012_15_9_2011,100000012,15,9,2011,France,IBGN,,38,0.494855231,1.403626616,0.385867593,5190,0.25
100000012_9_8_2012,100000012,9,8,2012,France,IBGN,,27,0.28634509,0.723629948,0.219558788,5623,0.414634146
100000012_5_8_2013,100000012,5,8,2013,France,IBGN,,29,0.780351256,1.926856033,0.572226537,2253,0.303030303
100000012_21_8_2015,100000012,21,8,2015,France,IBGN,,30,0.534178367,1.041254101,0.306143391,9751,0.314285714
100000012_16_8_2016,100000012,16,8,2016,France,IBGN,,31,0.588802327,1.184582006,0.344958189,7580,0.435897436
100000013_21_8_1997,100000013,21,8,1997,France,IBGN,,26,0.771521236,2.013238657,0.617918663,839,NA
100000013_19_8_1998,100000013,19,8,1998,France,IBGN,,36,0.783213088,2.284729056,0.637565783,1860,0.45
100000013_23_8_1999,100000013,23,8,1999,France,IBGN,,37,0.86184048,2.49140692,0.689964984,844,0.340909091
100000013_23_8_2000,100000013,23,8,2000,France,IBGN,,40,0.772680177,2.191704842,0.594138374,3527,0.12195122
100000013_30_7_2007,100000013,30,7,2007,France,IBGN,,37,0.884139899,2.550696723,0.706384577,2184,0.326086957
100000013_10_9_2008,100000013,10,9,2008,France,IBGN,,48,0.891480705,2.639768497,0.681899103,2890,0.396226415
100000013_20_9_2010,100000013,20,9,2010,France,IBGN,,38,0.798840201,2.113421884,0.580995691,3030,0.28
100000013_16_9_2011,100000013,16,9,2011,France,IBGN,,40,0.935341143,3.048281132,0.826343384,1122,0.142857143
100000013_11_8_2012,100000013,11,8,2012,France,IBGN,,39,0.890050888,2.696421169,0.736010863,1024,0.204545455
100000013_6_8_2013,100000013,6,8,2013,France,IBGN,,36,0.843474419,2.278909299,0.635941748,2097,0.214285714
100000013_21_8_2015,100000013,21,8,2015,France,IBGN,,39,0.852553658,2.527340024,0.689858741,1229,0.255813953
100000013_23_8_2016,100000013,23,8,2016,France,IBGN,,38,0.859148688,2.551535412,0.70143642,2102,0.209302326
100000014_22_8_1997,100000014,22,8,1997,France,IBGN,,23,0.370905207,0.989125674,0.315460851,1530,NA
100000014_19_8_1998,100000014,19,8,1998,France,IBGN,,30,0.592088736,1.544850109,0.45420772,2594,0.441176471
100000014_23_8_1999,100000014,23,8,1999,France,IBGN,,22,0.689630125,1.573569114,0.509073925,3669,0.424242424
100000014_23_8_2000,100000014,23,8,2000,France,IBGN,,21,0.54050949,1.190771662,0.391119358,2788,0.407407407
100000014_30_7_2007,100000014,30,7,2007,France,IBGN,,33,0.679955245,1.822833684,0.521329828,1954,0.457142857
100000014_10_9_2008,100000014,10,9,2008,France,IBGN,,32,0.67844903,1.686329296,0.486571782,4844,0.243243243
100000014_20_9_2010,100000014,20,9,2010,France,IBGN,,30,0.673183769,1.763728601,0.518561084,1511,0.368421053
100000014_14_9_2011,100000014,14,9,2011,France,IBGN,,37,0.885777612,2.617870879,0.724987646,1370,0.365853659
100000014_11_8_2012,100000014,11,8,2012,France,IBGN,,34,0.72260303,1.742649383,0.494177884,3359,0.30952381
100000014_6_8_2013,100000014,6,8,2013,France,IBGN,,21,0.375641249,0.884054473,0.290375417,2901,0.382352941
100000014_2_7_2014,100000014,2,7,2014,France,IBGN,,25,0.255949977,0.703522847,0.218561661,4382,0.413793103
100000014_20_8_2015,100000014,20,8,2015,France,IBGN,,26,0.148384476,0.462462221,0.141942455,8379,0.40625
100000014_23_8_2016,100000014,23,8,2016,France,IBGN,,25,0.235653945,0.651392363,0.202366416,8816,0.111111111
100000015_30_9_1993,100000015,30,9,1993,France,IBGN,,25,0.114394906,0.359441227,0.111666695,8006,NA
100000015_30_9_1994,100000015,30,9,1994,France,IBGN,,26,0.40663518,1.052096898,0.322917656,2003,0.40625
100000015_12_9_1996,100000015,12,9,1996,France,IBGN,,31,0.806757876,2.153406105,0.627086234,1376,0.416666667
100000015_2_9_1998,100000015,2,9,1998,France,IBGN,,21,0.546228411,1.298492741,0.426501288,559,0.514285714
100000015_2_8_1999,100000015,2,8,1999,France,IBGN,,17,0.507561777,0.913910729,0.322570388,3940,0.48
100000015_26_9_2000,100000015,26,9,2000,France,IBGN,,14,0.777950944,1.931269955,0.731802956,451,0.523809524
100000015_27_8_2002,100000015,27,8,2002,France,IBGN,,28,0.882816447,2.568771863,0.770892619,305,0.551724138
100000015_4_9_2007,100000015,4,9,2007,France,IBGN,,20,0.768137789,1.857154878,0.619933528,831,0.451612903
100000015_21_8_2008,100000015,21,8,2008,France,IBGN,,27,0.57802105,1.488422456,0.451606835,427,0.483870968
100000015_6_8_2009,100000015,6,8,2009,France,IBGN,,26,0.631218511,1.263817364,0.387900527,2894,0.441176471
100000015_2_8_2011,100000015,2,8,2011,France,IBGN,,25,0.297675737,0.753578747,0.234112401,3352,0.40625
100000015_14_8_2012,100000015,14,8,2012,France,IBGN,,22,0.457490719,1.099514102,0.355709803,1388,0.379310345
100000015_25_7_2013,100000015,25,7,2013,France,IBGN,,22,0.756815095,1.835113668,0.59368763,645,0.37037037
100000015_21_7_2015,100000015,21,7,2015,France,IBGN,,31,0.866621773,2.387171328,0.695160228,2050,0.290322581
100000015_22_7_2016,100000015,22,7,2016,France,IBGN,,29,0.658109382,1.584245389,0.470480014,2307,0.235294118
100000016_18_8_1992,100000016,18,8,1992,France,IBGN,,32,0.433767969,1.160898151,0.334964401,3366,NA
100000016_30_9_1993,100000016,30,9,1993,France,IBGN,,24,0.663529314,1.530828488,0.4816874,1711,0.444444444
100000016_30_9_1994,100000016,30,9,1994,France,IBGN,,29,0.734338671,1.769899074,0.525614369,1189,0.567567568
100000016_12_9_1996,100000016,12,9,1996,France,IBGN,,24,0.402552722,1.069765883,0.336610372,1635,0.485714286
100000016_9_8_1997,100000016,9,8,1997,France,IBGN,,18,0.738733256,1.640309528,0.56750815,671,0.6
100000016_2_8_1998,100000016,2,8,1998,France,IBGN,,22,0.555114783,1.01051635,0.326917655,3278,0.518518519
100000016_2_8_1999,100000016,2,8,1999,France,IBGN,,17,0.376257806,0.863581555,0.304806398,4454,0.555555556
100000016_27_9_2000,100000016,27,9,2000,France,IBGN,,16,0.373226451,0.942417628,0.339905309,3477,0.5
100000016_27_8_2002,100000016,27,8,2002,France,IBGN,,26,0.874445409,2.453734273,0.753118959,288,0.444444444
100000016_4_9_2007,100000016,4,9,2007,France,IBGN,,36,0.744323861,1.978213515,0.552030992,1284,0.487804878
100000016_4_8_2008,100000016,4,8,2008,France,IBGN,,48,0.874093386,2.525732566,0.652441596,2037,0.444444444
100000016_12_8_2009,100000016,12,8,2009,France,IBGN,,31,0.597812977,1.633899685,0.475802497,1082,0.480769231
100000016_22_7_2010,100000016,22,7,2010,France,IBGN,,35,0.731353715,1.871296386,0.526332824,1687,0.35
100000016_4_7_2011,100000016,4,7,2011,France,IBGN,,39,0.721260867,1.939934569,0.529521476,5286,0.238095238
100000016_13_8_2012,100000016,13,8,2012,France,IBGN,,41,0.876433526,2.536297481,0.682980547,1579,0.29787234
100000016_24_7_2013,100000016,24,7,2013,France,IBGN,,29,0.694068855,1.784005779,0.529803697,1917,0.372093023
100000016_23_7_2015,100000016,23,7,2015,France,IBGN,,38,0.820842319,2.212176447,0.608144069,1312,0.511111111
100000016_20_7_2016,100000016,20,7,2016,France,IBGN,,26,0.824383081,2.173189194,0.66701191,1170,0.577777778
100000017_22_6_1992,100000017,22,6,1992,France,IBGN,,18,0.528244678,0.854206958,0.295535325,7211,NA
100000017_15_6_1995,100000017,15,6,1995,France,IBGN,,24,0.319445061,0.804431927,0.253120925,3293,0.64516129
100000017_20_8_1997,100000017,20,8,1997,France,IBGN,,27,0.759615566,1.826870225,0.554296314,1382,0.657894737
100000017_7_8_1998,100000017,7,8,1998,France,IBGN,,29,0.698964723,1.611806016,0.478664809,2723,0.6
100000017_4_8_1999,100000017,4,8,1999,France,IBGN,,26,0.545064406,1.126817984,0.345851626,4959,0.428571429
100000017_28_8_2002,100000017,28,8,2002,France,IBGN,,32,0.929801546,2.884140051,0.83218691,557,0.512820513
100000017_21_8_2008,100000017,21,8,2008,France,IBGN,,29,0.805235143,2.076819934,0.616761947,1348,0.435897436
100000017_13_8_2009,100000017,13,8,2009,France,IBGN,,43,0.703237991,1.841760244,0.489673558,1408,0.325581395
100000017_27_7_2010,100000017,27,7,2010,France,IBGN,,38,0.7709711,2.051944929,0.56409521,1583,0.276595745
100000017_5_8_2011,100000017,5,8,2011,France,IBGN,,30,0.817390883,2.242918813,0.659449765,704,0.418604651
100000017_15_8_2012,100000017,15,8,2012,France,IBGN,,31,0.65417412,1.740121089,0.506734878,2341,0.475
100000017_19_7_2013,100000017,19,7,2013,France,IBGN,,31,0.740850006,1.847203886,0.537918104,1764,0.487804878
100000017_4_8_2015,100000017,4,8,2015,France,IBGN,,40,0.854347634,2.385942412,0.646793272,1676,0.520833333
100000017_9_8_2016,100000017,9,8,2016,France,IBGN,,27,0.650030447,1.680173673,0.509786662,1751,0.404761905
100000018_20_7_1992,100000018,20,7,1992,France,IBGN,,32,0.579303115,1.304206366,0.376314411,18387,NA
100000018_28_9_1993,100000018,28,9,1993,France,IBGN,,19,0.626560109,1.332529202,0.452557927,2442,0.454545455
100000018_30_8_1994,100000018,30,8,1994,France,IBGN,,26,0.656456689,1.614696818,0.495595142,2105,0.333333333
100000018_25_8_1995,100000018,25,8,1995,France,IBGN,,25,0.776393432,1.76884986,0.549524106,8450,0.3
100000018_19_8_1997,100000018,19,8,1997,France,IBGN,,24,0.534390213,1.205278294,0.379250434,9110,0.46875
100000018_21_8_1998,100000018,21,8,1998,France,IBGN,,18,0.143288682,0.403395936,0.139565416,32434,0.551724138
100000018_3_8_1999,100000018,3,8,1999,France,IBGN,,22,0.685547269,1.417492484,0.458580723,8689,0.461538462
100000018_27_9_2000,100000018,27,9,2000,France,IBGN,,20,0.386025977,0.978756938,0.326717092,5763,0.32
